LABEL	ACCESSION	COUNTRY	CONTINENT	STATE1	STATE2	REGION	YEAR
KU950521/USA/Tennessee/TH-10149/15-Aug-2012	KU950521	USA	America	Other	America	Tennessee	2012
KU950505/USA/Tennessee/TH-10651/07-Nov-2013	KU950505	USA	America	Other	America	Tennessee	2013
KU950677/USA/Tennessee/TH-10148/11-Sep-2012	KU950677	USA	America	Other	America	Tennessee	2012
KU950585/USA/Tennessee/TH-10613/20-Jun-2013	KU950585	USA	America	Other	America	Tennessee	2013
KU950491/USA/Tennessee/TH-10518/04-Sep-2013	KU950491	USA	America	Other	America	Tennessee	2013
KU950643/USA/Tennessee/TH-10268/02-Oct-2012	KU950643	USA	America	Other	America	Tennessee	2012
KU950456/USA/Tennessee/TH-10594/07-Aug-2013	KU950456	USA	America	Other	America	Tennessee	2013
MW160754/AUS/WA/PW3614982P/19-Jun-2016	MW160754	AUS	Oceania	WA	WA	Perth	2016
KX894807/USA/Tennessee/TH-10280P/26-Feb-2013	KX894807	USA	America	Other	America	Tennessee	2013
KU950608/USA/Tennessee/TH-10508/15-Oct-2013	KU950608	USA	America	Other	America	Tennessee	2013
KU950686/USA/Tennessee/10506/10-Jan-2014	KU950686	USA	America	Other	America	Tennessee	2014
MW160822/AUS/NSW/WM1233497/03-May-2017	MW160822	AUS	Oceania	NSW	Oceania	NSW	2017
KU950634/USA/Tennessee/TH-10291/17-Sep-2012	KU950634	USA	America	Other	America	Tennessee	2012
KU950664/USA/Tennessee/TH-10110/29-Oct-2012	KU950664	USA	America	Other	America	Tennessee	2012
MH760634/AUS/NSW/WM1254A/31-Jul-2016	MH760634	AUS	Oceania	NSW	Oceania	NSW	2016
KU950641/USA/Tennessee/10366/18-Nov-2013	KU950641	USA	America	Other	America	Tennessee	2013
KX765971/NZL/Christchurch/LJRSV45/01-Aug-2013	KX765971	NZL	Oceania	Other	Oceania	Christchurch	2013
KU950623/USA/Tennessee/TH-10606/14-Aug-2013	KU950623	USA	America	Other	America	Tennessee	2013
KJ672484/USA/Tennessee/LA2-01/26-Dec-2012	KJ672484	USA	America	Other	America	Tennessee	2012
KY654515/PHL/Region/TOp-12-117/25-Oct-2012	KY654515	PHL	Asia	Other	Asia	Region	2012
KM042388/USA/Tennessee/LA2-98/11-Jan-2013	KM042388	USA	America	Other	America	Tennessee	2013
KU950598/USA/Tennessee/TH-10618/07-Oct-2013	KU950598	USA	America	Other	America	Tennessee	2013
KY654513/PHL/Region/TEv-13-013/08-Jan-2013	KY654513	PHL	Asia	Other	Asia	Region	2013
KJ672458/USA/Tennessee/LA2-77/18-Feb-2013	KJ672458	USA	America	Other	America	Tennessee	2013
KU950499/USA/Tennessee/TH-10470/04-Oct-2013	KU950499	USA	America	Other	America	Tennessee	2013
KU950581/USA/Tennessee/TH-10159/08-Nov-2012	KU950581	USA	America	Other	America	Tennessee	2012
MH760611/AUS/NSW/WM0467B/05-Nov-2016	MH760611	AUS	Oceania	NSW	Oceania	NSW	2016
KU950470/USA/Tennessee/TH-10464/09-Oct-2013	KU950470	USA	America	Other	America	Tennessee	2013
KU950567/USA/Tennessee/TH-10324/03-Dec-2012	KU950567	USA	America	Other	America	Tennessee	2012
KU950644/USA/Tennessee/TH-10546/25-Nov-2013	KU950644	USA	America	Other	America	Tennessee	2013
MH760619/AUS/NSW/WM3743A/27-Sep-2016	MH760619	AUS	Oceania	NSW	Oceania	NSW	2016
KJ672428/USA/Tennessee/LA2-55/24-Jan-2013	KJ672428	USA	America	Other	America	Tennessee	2013
MW160830/AUS/NSW/WM0981567/08-Apr-2017	MW160830	AUS	Oceania	NSW	Oceania	NSW	2017
KX894802/USA/Tennessee/LA2/11-Dec-2012	KX894802	USA	America	Other	America	Tennessee	2012
KY982516/USA/Tennessee/LA2_76/24-Jan-2013	KY982516	USA	America	Other	America	Tennessee	2013
MH760624/AUS/NSW/WM0737A/15-Aug-2016	MH760624	AUS	Oceania	NSW	Oceania	NSW	2016
KM042391/USA/Tennessee/LA2-83/15-Mar-2013	KM042391	USA	America	Other	America	Tennessee	2013
KU950557/USA/Tennessee/TH-10109/08-Aug-2012	KU950557	USA	America	Other	America	Tennessee	2012
KJ672468/USA/Tennessee/LA2-07/19-Nov-2012	KJ672468	USA	America	Other	America	Tennessee	2012
MH760631/AUS/NSW/WM0879A/30-Jul-2016	MH760631	AUS	Oceania	NSW	Oceania	NSW	2016
KY654512/PHL/Region/TEv-12-138/20-Dec-2012	KY654512	PHL	Asia	Other	Asia	Region	2012
KU950524/USA/Tennessee/TH-10094/23-Nov-2012	KU950524	USA	America	Other	America	Tennessee	2012
KX765919/NZL/Christchurch/LJRSV37/09-Jun-2013	KX765919	NZL	Oceania	Other	Oceania	Christchurch	2013
KU950566/USA/Tennessee/TH-10433/26-Nov-2013	KU950566	USA	America	Other	America	Tennessee	2013
KX894799/USA/Tennessee/LA2-00007P/19-Nov-2012	KX894799	USA	America	Other	America	Tennessee	2012
MW160771/AUS/WA/PW6360608C/23-Mar-2017	MW160771	AUS	Oceania	WA	WA	Perth	2017
KX894797/USA/Tennessee/TH-10305P/07-Mar-2013	KX894797	USA	America	Other	America	Tennessee	2013
KJ672455/USA/Tennessee/LA2-05/26-Dec-2012	KJ672455	USA	America	Other	America	Tennessee	2012
KX655626/JOR/Amman/D3721/17-Feb-2013	KX655626	JOR	Asia	Other	Asia	Amman	2013
MH760588/AUS/NSW/WM0301A/06-Jun-2016	MH760588	AUS	Oceania	NSW	Oceania	NSW	2016
KU950583/USA/Tennessee/TH-10507/12-Jul-2013	KU950583	USA	America	Other	America	Tennessee	2013
MW160825/AUS/NSW/WM0921853/02-Apr-2017	MW160825	AUS	Oceania	NSW	Oceania	NSW	2017
KU950596/USA/Tennessee/TH-10603/25-Nov-2013	KU950596	USA	America	Other	America	Tennessee	2013
KU839630/USA/Tennessee/TH-28/07-Jan-2014	KU839630	USA	America	Other	America	Tennessee	2014
KX765956/NZL/Christchurch/LJRSV14/11-Jul-2015	KX765956	NZL	Oceania	Other	Oceania	Christchurch	2015
MH760642/AUS/NSW/WM2111B/06-Aug-2014	MH760642	AUS	Oceania	NSW	Oceania	NSW	2014
KU950480/USA/Tennessee/TH-10272/10-Dec-2012	KU950480	USA	America	Other	America	Tennessee	2012
MH760602/AUS/NSW/WM1236A/06-Aug-2012	MH760602	AUS	Oceania	NSW	Oceania	NSW	2012
KU950632/USA/Tennessee/TH-10156/19-Oct-2012	KU950632	USA	America	Other	America	Tennessee	2012
KU950636/USA/Tennessee/TH-10358/01-Nov-2012	KU950636	USA	America	Other	America	Tennessee	2012
KU950696/USA/Tennessee/TH-10283/19-Dec-2012	KU950696	USA	America	Other	America	Tennessee	2012
MW160772/AUS/WA/PW7245506U/16-Apr-2017	MW160772	AUS	Oceania	WA	WA	Perth	2017
MW160759/AUS/WA/PW3375488K/09-Aug-2016	MW160759	AUS	Oceania	WA	WA	Perth	2016
KU950660/USA/Tennessee/10255/01-Sep-2012	KU950660	USA	America	Other	America	Tennessee	2012
MW160807/AUS/NSW/WM0910208/01-Apr-2017	MW160807	AUS	Oceania	NSW	Oceania	NSW	2017
KU950658/USA/Tennessee/10146/12-Sep-2012	KU950658	USA	America	Other	America	Tennessee	2012
KU950651/USA/Tennessee/TH-10147/12-Nov-2012	KU950651	USA	America	Other	America	Tennessee	2012
MW160783/AUS/WA/PW7245966B/17-Apr-2017	MW160783	AUS	Oceania	WA	WA	Perth	2017
